item_id,gain_or_loss,item_name,listed_on,acted_on,price
40932078704,sold,{'Shanghai 2024 Dust II Souvenir Package'},2025-07-21,2025-07-22,3.19
45103738325,bought,{'AWP | Neo-Noir'},2025-07-21,2025-07-21,30.31
42473084218,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473082352,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473071118,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473080810,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473026023,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473017036,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473059706,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473057009,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473019321,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473010629,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
42473020100,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.80
44252414043,sold,{'Kilowatt Case'},2025-07-19,2025-07-19,0.58
43954829853,sold,{'Kilowatt Case'},2025-07-19,2025-07-19,0.58
43777540033,sold,{'Kilowatt Case'},2025-07-19,2025-07-19,0.58
42539236516,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
42408057745,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
41980159747,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
42837901029,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
44690080951,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
41980159670,sold,{'Recoil Case'},2025-07-19,2025-07-19,0.42
41869495856,bought,{'AK-47 | The Empress'},2025-07-19,2025-07-19,41.00
34737714363,sold,{'Antwerp 2022 Inferno Souvenir Package'},2025-07-19,2025-07-19,2.40
42569540498,sold,{'Dreams & Nightmares Case'},2025-07-19,2025-07-19,2.06
43388938612,sold,{'Fracture Case'},2025-07-19,2025-07-19,0.46
43659841781,sold,{'Fracture Case'},2025-07-19,2025-07-19,0.46
43496023615,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.71
41980159648,sold,{'Fracture Case'},2025-07-19,2025-07-19,0.46
44945440833,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.70
45187609643,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.70
45076371471,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.70
41980159733,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.70
42232054079,sold,{'Revolution Case'},2025-07-19,2025-07-19,0.70
41980159693,sold,{'Dreams & Nightmares Case'},2025-07-19,2025-07-19,1.98
41980159720,sold,{'Dreams & Nightmares Case'},2025-07-19,2025-07-19,1.97
41980159795,sold,{'Dreams & Nightmares Case'},2025-07-19,2025-07-19,1.97
30767566568,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566571,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566706,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566709,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566730,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566777,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566845,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566815,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566802,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566836,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566838,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566888,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566879,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566899,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566927,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566987,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566700,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566683,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566667,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566636,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566670,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
30767566624,sold,{'Snakebite Case'},2025-07-19,2025-07-19,0.70
